北京电信226,#genre#
欢笑剧场,http://58.37.82.140:56789/udp/239.45.3.196:5140
欢笑剧场4K,http://58.37.82.140:56789/udp/239.45.1.4:5140
纪实科教,http://58.37.82.140:56789/udp/239.45.1.14:5140
纪实人文,http://58.37.82.140:56789/udp/239.45.3.212:5140
金色学堂,http://58.37.82.140:56789/udp/239.45.0.9:5140
金鹰纪实,http://58.37.82.140:56789/udp/239.45.1.45:5140
快乐垂钓,http://58.37.82.140:56789/udp/239.45.3.12:5140
七彩戏剧,http://58.37.82.140:56789/udp/239.45.3.61:5140
乐游,http://58.37.82.140:56789/udp/239.45.3.135:5140
生活时尚,http://58.37.82.140:56789/udp/239.45.3.132:5140
五星体育,http://58.37.82.140:56789/udp/239.45.3.216:5140
游戏风云,http://58.37.82.140:56789/udp/239.45.3.131:5140

天津联通hssvm,#genre#
4K影视,http://nas.hssvm.com:8888/udp/225.1.2.190:5002
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
CHC影迷电影,http://nas.hssvm.com:8888/udp/225.1.1.214:5002
茶频道,http://nas.hssvm.com:8888/udp/225.1.2.19:5002
东方财富,http://nas.hssvm.com:8888/udp/225.1.1.247:5002
动漫秀场,http://nas.hssvm.com:8888/udp/225.1.1.134:5002
都市剧场,http://nas.hssvm.com:8888/udp/225.1.1.146:5002
法制天地,http://nas.hssvm.com:8888/udp/225.1.1.237:5002
欢笑剧场,http://nas.hssvm.com:8888/udp/225.1.1.139:5002
欢笑剧场4K,http://nas.hssvm.com:8888/udp/225.1.1.152:5002
纪实人文,http://nas.hssvm.com:8888/udp/225.1.2.25:5002
金色学堂,http://nas.hssvm.com:8888/udp/225.1.1.236:5002
金鹰纪实,http://nas.hssvm.com:8888/udp/225.1.1.124:5002
金鹰卡通,http://nas.hssvm.com:8888/udp/225.1.2.236:5002
精彩影视,http://nas.hssvm.com:8888/udp/225.1.1.141:5002
快乐垂钓,http://nas.hssvm.com:8888/udp/225.1.1.92:5002
乐游,http://nas.hssvm.com:8888/udp/225.1.1.145:5002
梨园频道,http://nas.hssvm.com:8888/udp/225.1.2.104:5002
魅力足球,http://nas.hssvm.com:8888/udp/225.1.1.137:5002
生活时尚,http://nas.hssvm.com:8888/udp/225.1.1.143:5002
文物宝库,http://nas.hssvm.com:8888/udp/225.1.2.105:5002
武术世界,http://nas.hssvm.com:8888/udp/225.1.2.129:5002
游戏风云,http://nas.hssvm.com:8888/udp/225.1.1.135:5002

浙江电信myds,#genre#
茶频道,http://guany.myds.me:25852/rtp/233.50.201.188:5140
动漫秀场,http://guany.myds.me:25852/rtp/233.50.201.184:5140
都市剧场,http://guany.myds.me:25852/rtp/233.50.201.190:5140
法制天地,http://guany.myds.me:25852/rtp/233.50.201.191:5140
欢笑剧场,http://guany.myds.me:25852/rtp/233.50.201.189:5140
金色学堂,http://guany.myds.me:25852/rtp/233.50.201.186:5140
快乐垂钓,http://guany.myds.me:25852/rtp/233.50.201.109:5140
乐游,http://guany.myds.me:25852/rtp/233.50.201.185:5140
生活时尚,http://guany.myds.me:25852/rtp/233.50.201.187:5140
游戏风云,http://guany.myds.me:25852/rtp/233.50.201.183:5140

重庆电信112,#genre#
精彩导视,http://125.80.152.112:7788/rtp/235.254.196.101:1162
4K测试,http://125.80.152.112:7788/rtp/235.254.198.102:7980
纪实人文,http://125.80.152.112:7788/rtp/235.254.198.121:1760

重庆联通dddmmh,#genre#
CHC动作电影,http://n1.dddmmh.space:8088/udp/225.0.4.229:7980
CHC家庭影院,http://n1.dddmmh.space:8088/udp/225.0.4.228:7980
CHC影迷电影,http://n1.dddmmh.space:8088/udp/225.0.4.230:7980
茶频道,http://n1.dddmmh.space:8088/udp/225.0.4.233:7980
华数测试4K,http://n1.dddmmh.space:8088/udp/225.0.4.226:7980
纪实人文,http://n1.dddmmh.space:8088/udp/225.0.4.99:7980
精彩影视,http://n1.dddmmh.space:8088/udp/225.0.4.231:7980
快乐垂钓,http://n1.dddmmh.space:8088/udp/225.0.4.213:7980
求索记录,http://n1.dddmmh.space:8088/udp/225.0.4.232:7980
